timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,engage_main_motor_switch
80231036,80211496,6,6,1,0,0,0,0,0,0,0,0,0
81231199,81211180,6,6,1,0,0,0,0,0,0,0,0,0
82240830,82231059,6,6,1,0,0,0,0,0,0,0,0,0
83250815,83237708,6,6,1,0,0,0,0,0,0,0,0,0
84270796,84250766,6,6,1,0,0,0,0,0,0,0,0,0
85280839,85270715,6,6,1,0,0,0,0,0,0,0,0,0
86291097,86280787,6,6,1,0,0,0,0,0,0,0,0,0
86650855,86640782,7,6,3,0,0,0,0,0,0,0,0,0
87650862,87640652,7,6,3,0,0,0,0,0,0,0,0,0
88651045,88641073,7,6,3,0,0,0,0,0,0,0,0,0
89670703,89647213,7,6,3,0,0,0,0,0,0,0,0,0
90670703,90650662,7,6,3,0,0,0,0,0,0,0,0,0
91670867,91650649,7,6,3,0,0,0,0,0,0,0,0,0
92681024,92670616,7,6,3,0,0,0,0,0,0,0,0,0
93690537,93680505,7,6,3,0,0,0,0,0,0,0,0,0
94691222,94680473,7,6,3,0,0,0,0,0,0,0,0,0
95710998,95690714,7,6,3,0,0,0,0,0,0,0,0,0
96720534,96710474,7,6,3,0,0,0,0,0,0,0,0,0
97721004,97710376,7,6,3,0,0,0,0,0,0,0,0,0
98730400,98720801,7,6,3,0,0,0,0,0,0,0,0,0
99730469,99720363,7,6,3,0,0,0,0,0,0,0,0,0
100730587,100720279,7,6,3,0,0,0,0,0,0,0,0,0
101730681,101719182,7,6,3,0,0,0,0,0,0,0,0,0
102750682,102728487,7,6,3,0,0,0,0,0,0,0,0,0
103760279,103750205,7,6,3,0,0,0,0,0,0,0,0,0
104760401,104748784,7,6,3,0,0,0,0,0,0,0,0,0
105762438,105751034,7,6,3,0,0,0,0,0,0,0,0,0
106770199,106757052,7,6,3,0,0,0,0,0,0,0,0,0
107790249,107770158,7,6,3,0,0,0,0,0,0,0,0,0
