timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
81270610,81270579,589858,-0.201,0.039,-0.114,nan,0
82270607,82270576,589858,-0.153,0.1365,-0.069,nan,0
83270608,83270577,589858,-0.1515,0.1455,-0.132,nan,0
84290608,84290577,589858,-0.111,0.1005,-0.141,nan,0
85270611,85270579,589858,-0.579,-0.132,-0.0015,nan,0
86290848,86290816,589858,-0.162,-0.654,-0.57,nan,0
87270796,87270764,589858,-0.846,0.123,0.2115,nan,0
88270602,88270570,589858,-1.5585,-0.213,0.2685,nan,0
89290607,89290576,589858,-0.024,-0.3885,-0.3675,nan,0
90270615,90270584,589858,-0.3675,0.2805,-0.5265,nan,0
91270633,91270602,589858,0.0015,-0.18450001,-0.4065,nan,0
92270611,92270578,589858,-0.246,-0.021,-0.2715,nan,0
93270989,93270956,589858,-0.2265,-0.444,-0.996,nan,0
94290687,94290655,589858,0.498,-0.249,-0.285,nan,0
95270662,95270631,589858,-0.1905,0.294,-0.0585,nan,0
96270610,96270578,589858,-0.204,0.087,-0.1785,nan,0
97270610,97270577,589858,-0.78900003,1.2675,0.153,nan,0
98270609,98270577,589858,0.0,-0.6825,-0.5655,nan,0
99270617,99270586,589858,-1.0515,0.201,0.135,nan,0
100270611,100270579,589858,-1.4625,-0.399,0.3195,nan,0
101270981,101270950,589858,-0.5685,-0.2955,-0.042,nan,0
102270838,102270807,589858,-0.426,-0.447,-0.64350003,nan,0
103270647,103270606,589858,-0.396,-0.027,-0.291,nan,0
104270608,104270577,589858,-0.60150003,0.052500002,0.0405,nan,0
105270634,105270577,589858,-0.033,-0.435,-0.573,nan,0
106270608,106270577,589858,-1.737,0.3075,0.108,nan,0
107290632,107290600,589858,0.222,-0.111,-0.069,nan,0
