timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
80302707,0,1,1,1,1,1,1,0,0,0,1,0
81309135,0,1,1,1,1,1,1,0,0,0,1,0
82316013,0,1,1,1,1,1,1,0,0,0,1,0
83322089,0,1,1,1,1,1,1,0,0,0,1,0
84328527,0,1,1,1,1,1,1,0,0,0,1,0
85334983,0,1,1,1,1,1,1,0,0,0,1,0
85430225,0,1,0,0,1,0,1,0,0,1,1,0
85440982,0,0,0,0,1,0,1,0,0,1,1,0
86447649,0,0,0,0,1,1,1,0,0,1,1,0
86564579,0,1,0,0,1,1,1,0,0,1,1,0
87570400,0,1,0,0,1,1,1,0,0,1,1,0
88343722,0,0,0,0,1,1,1,1,0,1,1,0
89350874,0,0,0,0,1,1,1,1,0,1,1,0
90356604,0,0,0,0,1,1,1,1,0,1,1,0
91363086,0,0,0,0,1,1,1,1,0,1,1,0
92369810,0,0,0,0,1,1,1,0,0,1,1,0
92454288,0,1,0,0,1,1,1,0,0,1,1,0
92528437,0,0,0,0,1,1,1,1,0,1,1,0
93534838,0,0,0,0,1,1,1,1,0,1,1,0
94541318,0,0,0,0,1,1,0,1,0,1,1,0
95547694,0,0,0,0,1,1,1,1,0,1,1,0
96554834,0,0,0,0,1,1,0,1,0,1,1,0
97561014,0,0,0,0,1,1,1,1,0,1,1,0
98567460,0,0,0,0,1,1,0,1,0,1,1,0
99573870,0,0,0,0,1,1,0,1,0,1,1,0
100580103,0,0,0,0,1,1,0,1,0,1,1,0
101586438,0,0,0,0,1,1,0,1,0,1,1,0
102592878,0,0,0,0,1,1,0,1,0,1,1,0
103599430,0,0,0,0,1,1,0,1,0,1,1,0
104605961,0,0,0,0,1,1,0,1,0,1,1,0
105612335,0,0,0,0,1,1,0,1,0,1,1,0
106618743,0,0,0,0,1,1,1,1,0,1,1,0
107169906,0,1,1,1,1,1,1,1,0,1,1,0
107201470,1,1,1,1,1,1,1,1,0,1,1,0
107339293,0,1,1,1,1,1,1,1,0,1,1,0
